电影频道,#genre#
四海,https://hnzy.bfvvs.com/play/1aMW3w5d/index.m3u8
飞驰人生,https://pps.1080tg.com/20211117/NKAbGDv0/1400kb/hls/index.m3u8
飞驰人生2,https://hnzy.bfvvs.com/play/Rb4jKjge/index.m3u8
世界的末日,https://hnzy.bfvvs.com/play/yb8yqgdv/index.m3u8
李清照,https://hnzy.bfvvs.com/play/DbDqAAxd/index.m3u8
97分钟,https://hnzy.bfvvs.com/play/mepnGR2b/index.m3u8
第五次相亲,https://hnzy.bfvvs.com/play/nellLOje/index.m3u8
一出好戏,https://v.gsuus.com/play/9av7qMbG/index.m3u8
一出好戏,https://qq.1080tg.com/20220218/cz8n3D0J/hls/index.m3u8
安家,https://hot.1080pzy.co/20230420/AoGxcjQc/1000kb/hls/index.m3u8
满江红,https://hot.1080pzy.co/20230427/6YDUagDv/1000kb/hls/index.m3u8
照明商店,https://s.xlzys.com/play/yb8nYPme/index.m3u8
照明商店,https://hnzy.bfvvs.com/play/9b6lVLne/index.m3u8
华丽的她,https://pptv.1080tg.com/202312/25/QWPuPmpukM3/video/900k_0X480_64k_25/hls/index.m3u8
九品芝麻官,https://hnzy.bfvvs.com/play/penRXrRe/index.m3u8
独行月球,https://pps.1080tg.com/20221008/NRicGSNX/1200kb/hls/index.m3u8
飞来横财,https://m3u8.aosmth.com//liangzi/b4893300d5532aed1ffd5278dc8a2e8a.m3u8
飞来横财,https://pptv.1080tg.com/202401/04/uZdC56wksm3/video/900k_0X480_64k_25/hls/index.m3u8
无价之宝,https://top.1080pzy.co/202312/29/60wj5LP8WC3/video/1000k_0X720_64k_25/hls/index.m3u8
兄弟，请注意,https://pptv.1080tg.com/202312/31/UsWRyJheTn3/video/900k_0X480_64k_25/hls/index.m3u8
了不起的夜晚,https://baidu.1080tg.com/20230620/vYCMvLkn/1200kb/hls/index.m3u8
年会不能停,https://top.1080pzy.co/202401/14/8JDWrBUn7v3/video/1000k_0X720_64k_25/hls/index.m3u8
看不见的朋友,https://top.1080pzy.co/202312/18/Qci78bBqTk3/video/1000k_0X720_64k_25/hls/index.m3u8
好象也没那么热血沸腾,https://top.1080pzy.co/202312/13/eXweB1U6Ee3/video/1000k_0X720_64k_25/hls/index.m3u8
杀手老不休,https://top.1080pzy.co/202312/11/SptzWMdKgR3/video/1000k_0X720_64k_25/hls/index.m3u8
二手杰作,https://top.1080pzy.co/202312/27/r9xR5fhUK93/video/1000k_0X720_64k_25/hls/index.m3u8
人鱼,https://top.1080pzy.co/202305/17/fLcavHZsFF3/video/1000k_0X720_64k_25/hls/index.m3u8
学爸,https://pptv.1080tg.com/202310/13/ihSreKGtWd3/video/900k_0X480_64k_25/hls/index.m3u8
绝色保镖,https://pptv.1080tg.com/202311/19/4q63cKexbp3/video/900k_0X480_64k_25/hls/index.m3u8
2012🍅,https://hnzy.bfvvs.com/play/QeZ6Vwep/index.m3u8
泰坦尼克号,https://vip.lzcdn2.com/20220321/216_db01adcf/1200k/hls/mixed.m3u8
最后的真相,https://top.1080pzy.co/202311/01/JHg2A1mMPt3/video/1000k_0X720_64k_25/hls/index.m3u8
